Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Howard University;Doctor's degree research and practice;Private not-for-profit;11687;5762;1394;22683;10297
Barry University;Doctor's degree research and practice;Private not-for-profit;7845;3670;576;28160;9030
Bethune-Cookman University;Master's degree;Private not-for-profit;7429;4948;1022;14410;3787
Lynn University;Doctor's degree research;Private not-for-profit;2697;2093;456;33600;2297
Clearwater Christian College;Master's degree;Private not-for-profit;468;328;126;17125;505
Eckerd College;Bachelor's degree;Private not-for-profit;;2779;534;37362;2173
Edward Waters College;Bachelor's degree;Private not-for-profit;;521;208;11525;862
Embry-Riddle Aeronautical University-Daytona Beach;Doctor's degree research;Private not-for-profit;;3017;944;31334;5279
Flagler College-St Augustine;Bachelor's degree;Private not-for-profit;5396;2691;708;16180;2839
Florida College;Bachelor's degree;Private not-for-profit;383;225;196;14490;558
Florida Institute of Technology;Doctor's degree research and practice;Private not-for-profit;7820;4727;783;36020;5644
Florida Southern College;Master's degree;Private not-for-profit;4963;2476;635;28580;
Jacksonville University;Doctor's degree practice;Private not-for-profit;3498;1657;528;29900;
University of Miami;Doctor's degree research and practice;Private not-for-profit;28907;11691;2140;42852;
Nova Southeastern University;Doctor's degree research and practice;Private not-for-profit;4328;2487;673;25430;
Palm Beach Atlantic University;Doctor's degree practice;Private not-for-profit;1618;1361;587;25532;3764
Rollins College;Doctor's degree research;Private not-for-profit;4729;2785;477;41460;3153
St Thomas University;Doctor's degree research and practice;Private not-for-profit;727;332;210;26370;2315
Stetson University;Doctor's degree practice;Private not-for-profit;10509;6227;852;38330;4044
Southeastern University;Master's degree;Private not-for-profit;2124;1260;865;19986;3434
The University of Tampa;Master's degree;Private not-for-profit;15345;8011;1592;25772;7260
Warner University;Master's degree;Private not-for-profit;1264;427;179;18430;1162
Webber International University;Master's degree;Private not-for-profit;944;602;207;21050;715
Point University;Bachelor's degree;Private not-for-profit;934;500;238;17400;1439
Clark Atlanta University;Doctor's degree research;Private not-for-profit;5873;3336;781;21100;3458
Berry College;Master's degree;Private not-for-profit;3901;2353;672;29090;2223
Brenau University;Doctor's degree practice;Private not-for-profit;2160;1691;206;23350;2854
Brewton-Parker College;Bachelor's degree;Private not-for-profit;475;244;150;13560;693
Covenant College;Master's degree;Private not-for-profit;1129;644;268;29100;1173
Emmanuel College;Bachelor's degree;Private not-for-profit;876;419;156;16800;806
Emory University;Doctor's degree research and practice;Private not-for-profit;17475;4602;1363;44008;14513
LaGrange College;Master's degree;Private not-for-profit;1648;962;271;25690;940
Mercer University;Doctor's degree research and practice;Private not-for-profit;3864;2666;728;33120;8351
Morehouse College;Bachelor's degree;Private not-for-profit;2690;1798;488;25468;2170
Oglethorpe University;Master's degree;Private not-for-profit;4403;2455;282;31280;1100
Paine College;Bachelor's degree;Private not-for-profit;2771;1213;268;13332;924
Piedmont College;Doctor's degree research;Private not-for-profit;850;520;255;20730;2368
Reinhardt University;Master's degree;Private not-for-profit;1111;571;396;18670;1309
Shorter University;Master's degree;Private not-for-profit;1597;1087;309;19670;1629
Spelman College;Bachelor's degree;Private not-for-profit;6081;2312;523;24634;2129
Toccoa Falls College;Bachelor's degree;Private not-for-profit;1253;619;178;19000;870
Truett-McConnell College;Bachelor's degree;Private not-for-profit;470;379;204;16610;1606
Wesleyan College;Master's degree;Private not-for-profit;779;338;117;19775;700
Chaminade University of Honolulu;Master's degree;Private not-for-profit;914;764;267;20090;2752
Hawaii Pacific University;Master's degree;Private not-for-profit;4207;2697;591;20180;6736
The College of Idaho;Master's degree;Private not-for-profit;1116;1010;292;24055;1122
Northwest Nazarene University;Doctor's degree other;Private not-for-profit;1227;757;261;26550;2246
Brigham Young University-Idaho;Bachelor's degree;Private not-for-profit;6690;6665;3448;3850;27692
Aurora University;Doctor's degree research;Private not-for-profit;2536;1926;646;20720;4946
Blackburn College;Bachelor's degree;Private not-for-profit;528;359;116;18506;543
Bradley University;Doctor's degree practice;Private not-for-profit;8969;6004;1085;29664;5430
University of Chicago;Doctor's degree research and practice;Private not-for-profit;30304;2670;1426;47514;15048
Concordia University-Chicago;Doctor's degree research;Private not-for-profit;3692;2009;376;27598;5286
DePaul University;Doctor's degree research and practice;Private not-for-profit;19957;11948;2425;33990;24414
Elmhurst College;Master's degree;Private not-for-profit;2702;1940;506;32920;3210
Eureka College;Bachelor's degree;Private not-for-profit;960;651;138;20060;692
Greenville College;Master's degree;Private not-for-profit;1723;1132;277;23612;1368
Illinois Wesleyan University;Bachelor's degree;Private not-for-profit;3556;2076;529;39316;2009
Illinois College;Master's degree;Private not-for-profit;2560;1569;270;27800;1028
Illinois Institute of Technology;Doctor's degree research and practice;Private not-for-profit;2840;1618;465;40117;7850
Judson University;Doctor's degree research;Private not-for-profit;737;521;201;27530;1170
Lake Forest College;Master's degree;Private not-for-profit;3684;2110;403;39842;1618
Lewis University;Doctor's degree research;Private not-for-profit;5432;3035;694;26780;6525
Loyola University Chicago;Doctor's degree research and practice;Private not-for-profit;14355;13121;2512;35573;15957
MacMurray College;Bachelor's degree;Private not-for-profit;1027;769;120;22400;571
McKendree University;Doctor's degree research;Private not-for-profit;1617;1017;387;26050;3027
Millikin University;Doctor's degree practice;Private not-for-profit;3906;2153;451;28644;2261
Monmouth College;Bachelor's degree;Private not-for-profit;2973;1912;392;31500;1255
North Park University;Doctor's degree other;Private not-for-profit;3961;2073;373;23350;3136
Northwestern University;Doctor's degree research and practice;Private not-for-profit;32060;4912;2037;45527;21592
Quincy University;Master's degree;Private not-for-profit;1078;955;275;25834;1455
Rockford University;Master's degree;Private not-for-profit;1074;440;113;26710;1230
Roosevelt University;Doctor's degree research and practice;Private not-for-profit;3370;2655;444;26500;6130
Dominican University;Doctor's degree research;Private not-for-profit;3502;2100;497;28810;3470
University of St Francis;Doctor's degree research;Private not-for-profit;1706;877;237;27970;3764
Saint Xavier University;Master's degree;Private not-for-profit;10513;5313;594;28970;4252
Trinity Christian College;Master's degree;Private not-for-profit;583;526;205;24435;1380
Trinity International University-Illinois;Doctor's degree research;Private not-for-profit;446;418;182;26830;2125
Wheaton College;Doctor's degree research and practice;Private not-for-profit;1959;1346;598;30880;2993
