Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Bay Path College;Master's degree;Private not-for-profit;908;523;135;29959;2357
Erskine College;Doctor's degree  research scholarship;Private not-for-profit;750;523;194;31580;815
Newberry College;Bachelor's degree;Private not-for-profit;887;524;238;23800;1039
Eastern Nazarene College;Master's degree;Private not-for-profit;941;525;165;27922;1478
Trinity Christian College;Master's degree;Private not-for-profit;583;526;205;24435;1380
University of Minnesota-Crookston;Bachelor's degree;Public;762;527;213;11448;2839
Stephens College;Master's degree;Private not-for-profit;783;529;168;27954;854
West Virginia University Institute of Technology;Bachelor's degree;Public;1033;530;199;5808;1222
Minot State University;Master's degree;Public;959;543;397;6086;3533
Bethel College-North Newton;Bachelor's degree;Private not-for-profit;854;550;123;23500;482
Berea College;Bachelor's degree;Private not-for-profit;1620;551;397;23170;1623
Fresno Pacific University;Master's degree;Private not-for-profit;705;553;212;25716;3393
Wisconsin Lutheran College;Master's degree;Private not-for-profit;870;553;229;24770;1178
Mississippi University for Women;Doctor's degree professional practice;Public;1274;554;184;5640;2629
McPherson College;Master's degree;Private not-for-profit;642;556;170;22891;656
Pennsylvania State University-Penn State Greater Allegheny;Master's degree;Public;699;558;201;13464;623
Pennsylvania State University-Penn State Schuylkill;Bachelor's degree;Public;693;562;248;13550;837
Tennessee Wesleyan College;Master's degree;Private not-for-profit;791;564;208;21800;1084
Hollins University;Master's degree;Private not-for-profit;824;571;148;33320;750
Reinhardt University;Master's degree;Private not-for-profit;1111;571;396;18670;1309
Saint Martin's University;Master's degree;Private not-for-profit;653;572;159;30284;1787
Wayland Baptist University;Master's degree;Private not-for-profit;581;573;348;12550;6222
Crown College;Master's degree;Private not-for-profit;1049;577;210;22430;1323
St Andrews University;Master's degree;Private not-for-profit;898;579;178;23332;635
California Institute of Technology;Doctor's degree  research scholarship;Private not-for-profit;5535;584;249;41538;2181
Pennsylvania State University-Penn State Beaver;Bachelor's degree;Public;670;585;208;13470;703
Lakeland College;Master's degree;Private not-for-profit;885;586;218;22950;3806
Davis & Elkins College;Bachelor's degree;Private not-for-profit;1022;586;269;24992;874
Roberts Wesleyan College;Master's degree;Private not-for-profit;814;591;206;27364;1735
Rosemont College;Master's degree;Private not-for-profit;1014;592;112;30950;957
King University;Master's degree;Private not-for-profit;933;595;210;24960;2575
Bluefield College;Master's degree;Private not-for-profit;1042;597;118;22390;842
Webber International University;Master's degree;Private not-for-profit;944;602;207;21050;715
University of St Thomas;Doctor's degree  research scholarship;Private not-for-profit;782;604;237;28240;3525
Massachusetts Maritime Academy;Master's degree;Public;787;608;300;7127;1476
University of Mobile;Master's degree;Private not-for-profit;866;617;259;18690;1610
Oral Roberts University;Doctor's degree  research scholarship;Private not-for-profit;1417;617;399;22508;3414
Toccoa Falls College;Bachelor's degree;Private not-for-profit;1253;619;178;19000;870
University of Jamestown;Doctor's degree other;Private not-for-profit;1088;619;261;18494;997
Northland College;Bachelor's degree;Private not-for-profit;1058;625;140;29990;552
Cedar Crest College;Master's degree;Private not-for-profit;1063;625;141;33000;1486
Carlow University;Doctor's degree professional practice;Private not-for-profit;669;637;206;25416;3012
